"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M5DN Quadruple Extra Large","m5dn.4xlarge","64.0 GiB","0 units","16 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","600 GB                 (2 * 300 GB NVMe SSD)","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.088 hourly","$0.685 hourly","$0.341500 hourly","$0.839600 hourly","$1.218 hourly","$0.815 hourly","$0.471500 hourly","$0.969600 hourly","unavailable","unavailable","$0.491500 hourly","$0.989600 hourly","$1.824 hourly","$1.421 hourly","$1.008100 hourly","$1.144500 hourly","$2.094 hourly","$1.692 hourly","$3.744 hourly","$3.341 hourly","$7.824 hourly","$7.421 hourly","$1.358 hourly","$0.956 hourly","$3.008 hourly","$2.605 hourly","$7.088 hourly","$6.685 hourly","0","unavailable"
"IM4GN Double Extra Large","im4gn.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3750 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$0.72758 hourly","$0.46662 hourly","$0.218300 hourly","$0.218300 hourly","$0.85758 hourly","$0.59662 hourly","$0.348300 hourly","$0.348300 hourly","$0.87758 hourly","$0.52662 hourly","$0.368300 hourly","$0.368300 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","0 units","96 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","3600 GB                 (4 * 900 GB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","13570.0 Mbps","1696.25 Mbps","60000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$6.288 hourly","$3.961 hourly","$1.710000 hourly","$1.906200 hourly","$6.453 hourly","$4.123 hourly","$1.840000 hourly","$2.036200 hourly","$6.438 hourly","$4.021 hourly","$1.860000 hourly","$2.056200 hourly","$10.704 hourly","$8.377 hourly","$6.126000 hourly","$6.126000 hourly","$12.326 hourly","$10 hourly","$22.224 hourly","$19.897 hourly","$46.704 hourly","$44.377 hourly","$7.91 hourly","$5.584 hourly","$17.808 hourly","$15.481 hourly","$42.288 hourly","$39.961 hourly","0","unavailable"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","26 units","8 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","160 GB                 SSD","Yes","Yes","64-bit","High","1000.0 Mbps","125.0 Mbps","8000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","use1-az2, use1-az3, use1-az4, use1-az6","$0.665 hourly","$0.418 hourly","$0.136600 hourly","$0.162800 hourly","$0.829 hourly","$0.539 hourly","$0.266600 hourly","$0.292800 hourly","$0.765 hourly","$0.451 hourly","$0.236600 hourly","$0.262800 hourly","$1.045 hourly","$0.824 hourly","$0.509300 hourly","$0.509300 hourly","$1.52 hourly","$1.069 hourly","$2.74 hourly","$2.412 hourly","$4.033 hourly","$3.789 hourly","$0.799 hourly","$0.512 hourly","$1.624 hourly","$1.337 hourly","$3.664 hourly","$3.377 hourly","0","$0.180 hourly"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","13300.0 Mbps","1662.5 Mbps","53333.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.7648 hourly","$1.82892 hourly","$1.167600 hourly","$1.571700 hourly","$2.8948 hourly","$1.95892 hourly","$1.297600 hourly","$1.701700 hourly","$2.9148 hourly","$1.88892 hourly","$1.317600 hourly","$1.721700 hourly","$5.7088 hourly","$4.77292 hourly","$4.086600 hourly","$4.086600 hourly","$6.7904 hourly","$5.85452 hourly","$13.3888 hourly","$12.45292 hourly","$29.7088 hourly","$28.77292 hourly","$3.8464 hourly","$2.91052 hourly","$10.4448 hourly","$9.50892 hourly","$26.7648 hourly","$25.82892 hourly","0","unavailable"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","0 units","48 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","2850 GB                 (2 * 1425 GB NVMe SSD)","Yes","Yes","64-bit","20 Gigabit","14250.0 Mbps","1781.25 Mbps","50000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.1696 hourly","$1.3668 hourly","$0.857000 hourly","$0.857000 hourly","$2.2996 hourly","$1.4968 hourly","$0.987000 hourly","$0.987000 hourly","$2.3196 hourly","$1.4268 hourly","$1.007000 hourly","$1.007000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","0 units","32 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.6128 hourly","$1.0161 hourly","$0.598500 hourly","$0.622100 hourly","$1.7778 hourly","$1.1781 hourly","$0.728500 hourly","$0.752100 hourly","$1.7628 hourly","$1.0761 hourly","$0.748500 hourly","$0.772100 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5DN Quadruple Extra Large","r5dn.4xlarge","128.0 GiB","0 units","16 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","600 GB                 (2 * 300 GB NVMe SSD)","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.336 hourly","$0.842 hourly","$0.310800 hourly","$0.453300 hourly","$1.466 hourly","$0.972 hourly","$0.440800 hourly","$0.583300 hourly","unavailable","unavailable","$0.460800 hourly","$0.603300 hourly","$2.072 hourly","$1.578 hourly","$1.021000 hourly","$1.021000 hourly","$2.342 hourly","$1.848 hourly","$3.992 hourly","$3.498 hourly","$8.072 hourly","$7.578 hourly","$1.606 hourly","$1.112 hourly","$3.256 hourly","$2.762 hourly","$7.336 hourly","$6.842 hourly","0","unavailable"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","0 units","32 vCPUs","4.00 GiB/vCPU","1","NVIDIA A10G","24 GiB","7.5","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","900 GB                 NVMe SSD","Yes","Yes","64-bit","25 Gigabit","16000.0 Mbps","2000.0 Mbps","65000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.448 hourly","$1.54224 hourly","$0.943400 hourly","$1.031100 hourly","$2.613 hourly","$1.70424 hourly","$1.073400 hourly","$1.161100 hourly","$2.598 hourly","$1.60224 hourly","$1.093400 hourly","$1.181100 hourly","$3.92 hourly","$3.01424 hourly","$2.206400 hourly","$2.206400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","0 units","16 vCPUs","6.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","15000 GB                 (2 * 7500 GB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$2.3052 hourly","$1.57223 hourly","$0.691600 hourly","$0.691600 hourly","$2.4702 hourly","$1.73423 hourly","$0.821600 hourly","$0.821600 hourly","$2.4552 hourly","$1.63223 hourly","$0.841600 hourly","$0.841600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","0 units","64 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","13300.0 Mbps","1662.5 Mbps","53333.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.448 hourly","$1.61935 hourly","$1.088200 hourly","$1.088200 hourly","$2.613 hourly","$1.78135 hourly","$1.218200 hourly","$1.218200 hourly","$2.598 hourly","$1.67935 hourly","$1.238200 hourly","$1.238200 hourly","$5.392 hourly","$4.56335 hourly","$4.032200 hourly","$4.032200 hourly","$6.4736 hourly","$5.64495 hourly","$13.072 hourly","$12.24335 hourly","$29.392 hourly","$28.56335 hourly","$3.5296 hourly","$2.70095 hourly","$10.128 hourly","$9.29935 hourly","$26.448 hourly","$25.61935 hourly","0","unavailable"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.232 hourly","$0.776 hourly","$0.542700 hourly","$0.727700 hourly","$1.397 hourly","$0.938 hourly","$0.672700 hourly","$0.857700 hourly","$1.382 hourly","$0.836 hourly","$0.692700 hourly","$0.877700 hourly","$2.704 hourly","$2.248 hourly","$1.990200 hourly","$1.990200 hourly","$3.245 hourly","$2.789 hourly","$6.544 hourly","$6.088 hourly","$14.704 hourly","$14.248 hourly","$1.773 hourly","$1.317 hourly","$5.072 hourly","$4.616 hourly","$13.232 hourly","$12.776 hourly","0","unavailable"
"C6A Extra Large","c6a.xlarge","8.0 GiB","0 units","4 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","6666.664 Mbps","833.333 Mbps","26667.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.153 hourly","$0.10121 hourly","$0.068000 hourly","$0.068000 hourly","$0.213 hourly","$0.16121 hourly","$0.128000 hourly","$0.128000 hourly","$0.278 hourly","$0.15121 hourly","$0.193000 hourly","$0.193000 hourly","$0.337 hourly","$0.28521 hourly","$0.252000 hourly","$0.252000 hourly","$0.4046 hourly","$0.35281 hourly","$0.817 hourly","$0.76521 hourly","$1.837 hourly","$1.78521 hourly","$0.2206 hourly","$0.16881 hourly","$0.633 hourly","$0.58121 hourly","$1.653 hourly","$1.60121 hourly","0","unavailable"
"R6G Metal","r6g.metal","512.0 GiB","0 units","64 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$3.2256 hourly","$2.0321 hourly","$1.197000 hourly","$1.197000 hourly","$3.3556 hourly","$2.1621 hourly","$1.327000 hourly","$1.327000 hourly","$3.3756 hourly","$2.0921 hourly","$1.347000 hourly","$1.347000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","0 units","16 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","600 GB                 (2 * 300 GB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.824 hourly","$0.519 hourly","$0.358900 hourly","$0.698700 hourly","$0.989 hourly","$0.681 hourly","$0.488900 hourly","$0.828700 hourly","$0.974 hourly","$0.579 hourly","$0.508900 hourly","$0.848700 hourly","$1.56 hourly","$1.255 hourly","$1.008100 hourly","$1.008100 hourly","$1.83 hourly","$1.526 hourly","$3.48 hourly","$3.175 hourly","$7.56 hourly","$7.255 hourly","$1.094 hourly","$0.79 hourly","$2.744 hourly","$2.439 hourly","$6.824 hourly","$6.519 hourly","0","unavailable"
"C6G Quadruple Extra Large","c6g.4xlarge","32.0 GiB","0 units","16 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.544 hourly","$0.3427 hourly","$0.272100 hourly","$0.358400 hourly","$0.674 hourly","$0.4727 hourly","$0.402100 hourly","$0.488400 hourly","$0.694 hourly","$0.4027 hourly","$0.422100 hourly","$0.508400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","0 units","24 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.18 hourly","$0.744 hourly","$0.354000 hourly","$0.354000 hourly","$1.31 hourly","$0.874 hourly","$0.484000 hourly","$0.484000 hourly","$1.33 hourly","$0.804 hourly","$0.504000 hourly","$0.504000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.586 hourly","$1.149 hourly","$4.06 hourly","$3.624 hourly","$10.18 hourly","$9.744 hourly","0","unavailable"
"G4AD Quadruple Extra Large","g4ad.4xlarge","64.0 GiB","0 units","16 vCPUs","4.00 GiB/vCPU","1","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","600 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.25 Mbps","13333.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.867 hourly","$0.54621 hourly","$0.267100 hourly","$0.395900 hourly","$1.032 hourly","$0.70821 hourly","$0.397100 hourly","$0.525900 hourly","$1.017 hourly","$0.60621 hourly","$0.417100 hourly","$0.545900 hourly","$1.603 hourly","$1.28221 hourly","$0.996100 hourly","$0.996100 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"G4AD Double Extra Large","g4ad.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","1","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","300 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.25 Mbps","13333.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.54117 hourly","$0.34094 hourly","$0.230200 hourly","$0.246700 hourly","$0.70617 hourly","$0.50294 hourly","$0.360200 hourly","$0.376700 hourly","$0.69117 hourly","$0.40094 hourly","$0.380200 hourly","$0.396700 hourly","$0.90917 hourly","$0.70894 hourly","$0.530400 hourly","$0.671600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R6GD Double Extra Large","r6gd.2xlarge","64.0 GiB","0 units","8 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","474 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.4608 hourly","$0.2903 hourly","$0.149600 hourly","$0.162300 hourly","$0.5908 hourly","$0.4203 hourly","$0.279600 hourly","$0.292300 hourly","$0.6108 hourly","$0.3503 hourly","$0.299600 hourly","$0.312300 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","0 units","64 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3800 GB                 (2 * 1900 GB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.4576 hourly","$1.5483 hourly","$1.088200 hourly","$1.088200 hourly","$2.6226 hourly","$1.7103 hourly","$1.218200 hourly","$1.218200 hourly","$2.6076 hourly","$1.6083 hourly","$1.238200 hourly","$1.238200 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M6GD Double Extra Large","m6gd.2xlarge","32.0 GiB","0 units","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","474 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.3616 hourly","$0.2278 hourly","$0.142800 hourly","$0.146700 hourly","$0.5266 hourly","$0.3898 hourly","$0.272800 hourly","$0.276700 hourly","$0.5116 hourly","$0.2878 hourly","$0.292800 hourly","$0.296700 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5A Extra Large","c5a.xlarge","8.0 GiB","0 units","4 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.154 hourly","$0.097 hourly","$0.064800 hourly","$0.074400 hourly","$0.214 hourly","$0.157 hourly","$0.124800 hourly","$0.134400 hourly","$0.279 hourly","$0.147 hourly","$0.189800 hourly","$0.199400 hourly","$0.338 hourly","$0.281 hourly","$0.248800 hourly","$0.248800 hourly","$0.406 hourly","$0.349 hourly","$0.818 hourly","$0.761 hourly","$1.838 hourly","$1.781 hourly","$0.222 hourly","$0.165 hourly","$0.634 hourly","$0.577 hourly","$1.654 hourly","$1.597 hourly","0","unavailable"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","0 units","16 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.904 hourly","$0.57 hourly","$0.297700 hourly","$0.400800 hourly","$1.069 hourly","$0.732 hourly","$0.427700 hourly","$0.530800 hourly","$1.054 hourly","$0.63 hourly","$0.447700 hourly","$0.550800 hourly","$1.64 hourly","$1.306 hourly","$1.021000 hourly","$1.021000 hourly","$1.91 hourly","$1.576 hourly","$3.56 hourly","$3.226 hourly","$7.64 hourly","$7.306 hourly","$1.174 hourly","$0.84 hourly","$2.824 hourly","$2.49 hourly","$6.904 hourly","$6.57 hourly","0","$0.226 hourly"
